destination_name,departure_status,scheduled_arrival,real_arrival,scheduled_departure,real_departure,arrival_difference,departure_difference,ArRTown,nearest_datetime,95,98,E10,gazole,temperature_2m,precipitation,rain,snowfall,wind_speed_10m,wind_gusts_10m,visibility,is_day,Date,day_of_week,day_type,is_bank_holiday,is_holiday,saturday,sunday,is_weekend,is_weekend_or_bank_holiday,pourc_validations
Gare de Pontoise,delayed,2024-10-30 05:05:00,2024-10-30 05:11:32,2024-10-30 05:06:00,2024-10-30 05:12:32,6.53,6.53,Paris 16e,2024-10-30 05:05:00,1.76,1.82,1.72,1.63,11.05,0.0,0.0,0.0,1.8,4.32,3220.0,False,2024-10-30,2,JOVS,0,1,0,0,0,0,0.37
Gare de Montigny Beauchamp,delayed,2024-10-30 05:21:20,2024-10-30 05:33:21,2024-10-30 05:22:20,2024-10-30 05:34:21,12.02,12.02,Paris 16e,2024-10-30 05:21:20,1.76,1.82,1.72,1.63,11.1,0.0,0.0,0.0,2.19,4.68,2960.0,False,2024-10-30,2,JOVS,0,1,0,0,0,0,0.37
Gare de Montigny Beauchamp,delayed,2024-10-30 06:03:20,2024-10-30 06:12:30,2024-10-30 06:04:20,2024-10-30 06:13:30,9.17,9.17,Paris 16e,2024-10-30 06:03:20,1.76,1.82,1.72,1.63,11.25,0.0,0.0,0.0,4.1,5.4,2180.0,False,2024-10-30,2,JOVS,0,1,0,0,0,0,0.85
Gare de Montigny Beauchamp,delayed,2024-10-30 06:33:20,2024-10-30 06:57:56,2024-10-30 06:34:20,2024-10-30 06:58:56,24.6,24.6,Paris 16e,2024-10-30 06:33:20,1.76,1.82,1.72,1.63,11.3,0.0,0.0,0.0,4.1,6.84,2100.0,False,2024-10-30,2,JOVS,0,1,0,0,0,0,0.85
Gare de Pont de Rungis,delayed,2024-10-30 17:39:10,2024-10-30 17:45:42,2024-10-30 17:40:10,2024-10-30 17:46:42,6.53,6.53,Paris 16e,2024-10-30 17:39:10,1.76,1.82,1.72,1.63,13.45,0.0,0.0,0.0,6.83,14.04,12060.0,False,2024-10-30,2,JOVS,0,1,0,0,0,0,15.94
Gare de Pont de Rungis,delayed,2024-10-30 19:39:10,2024-10-30 19:45:15,2024-10-30 19:40:10,2024-10-30 19:46:15,6.08,6.08,Paris 16e,2024-10-30 19:39:10,1.76,1.82,1.72,1.63,13.15,0.0,0.0,0.0,5.05,11.88,10600.0,False,2024-10-30,2,JOVS,0,1,0,0,0,0,7.81
Gare de Montigny Beauchamp,onTime,2024-11-02 20:19:20,2024-11-02 20:20:30,2024-11-02 20:20:20,2024-11-02 20:21:30,1.17,1.17,Paris 16e,2024-11-02 20:19:20,1.76,1.82,1.72,1.64,11.15,0.0,0.0,0.0,8.83,20.16,33800.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,7.21
Invalides,onTime,2024-11-02 20:23:50,2024-11-02 20:23:49,2024-11-02 20:24:50,2024-11-02 20:24:50,-0.02,0.0,Paris 16e,2024-11-02 20:23:50,1.76,1.82,1.72,1.64,11.2,0.0,0.0,0.0,8.83,18.72,33420.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,7.21
Gare de Pontoise,onTime,2024-11-02 20:34:20,2024-11-02 20:35:29,2024-11-02 20:35:20,2024-11-02 20:36:29,1.15,1.15,Paris 16e,2024-11-02 20:34:20,1.76,1.82,1.72,1.64,11.2,0.0,0.0,0.0,8.83,18.72,33420.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,7.21
Invalides,onTime,2024-11-02 20:38:50,2024-11-02 20:39:30,2024-11-02 20:39:50,2024-11-02 20:40:30,0.67,0.67,Paris 16e,2024-11-02 20:38:50,1.76,1.82,1.72,1.64,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,7.21
Gare de Montigny Beauchamp,onTime,2024-11-02 20:49:20,2024-11-02 20:49:20,2024-11-02 20:50:20,2024-11-02 20:50:20,0.0,0.0,Paris 16e,2024-11-02 20:49:20,1.76,1.82,1.72,1.64,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,7.21
Invalides,onTime,2024-11-02 20:53:50,2024-11-02 20:53:50,2024-11-02 20:54:50,2024-11-02 20:54:50,0.0,0.0,Paris 16e,2024-11-02 20:53:50,1.76,1.82,1.72,1.64,11.2,0.0,0.0,0.0,8.91,16.2,32680.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,7.21
Invalides,onTime,2024-11-02 21:08:50,2024-11-02 21:08:50,2024-11-02 21:09:50,2024-11-02 21:09:50,0.0,0.0,Paris 16e,2024-11-02 21:08:50,1.76,1.82,1.72,1.64,11.2,0.0,0.0,0.0,9.26,17.28,32360.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,8.53
Gare de Montigny Beauchamp,onTime,2024-11-02 21:19:20,2024-11-02 21:21:29,2024-11-02 21:20:20,2024-11-02 21:22:29,2.15,2.15,Paris 16e,2024-11-02 21:19:20,1.76,1.82,1.72,1.64,11.2,0.0,0.0,0.0,9.26,17.28,32360.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,8.53
Invalides,onTime,2024-11-02 21:23:50,2024-11-02 21:24:00,2024-11-02 21:24:50,2024-11-02 21:25:00,0.17,0.17,Paris 16e,2024-11-02 21:23:50,1.76,1.82,1.72,1.64,11.2,0.0,0.0,0.0,9.53,18.72,32040.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,8.53
Invalides,onTime,2024-11-02 21:38:50,2024-11-02 21:38:50,2024-11-02 21:39:50,2024-11-02 21:39:50,0.0,0.0,Paris 16e,2024-11-02 21:38:50,1.76,1.82,1.72,1.64,11.2,0.0,0.0,0.0,9.83,19.8,31700.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,8.53
Gare de Montigny Beauchamp,onTime,2024-11-02 21:49:20,2024-11-02 21:49:20,2024-11-02 21:50:20,2024-11-02 21:50:20,0.0,0.0,Paris 16e,2024-11-02 21:49:20,1.76,1.82,1.72,1.64,11.2,0.0,0.0,0.0,9.83,19.8,31700.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,8.53
Invalides,onTime,2024-11-02 21:53:50,2024-11-02 21:53:50,2024-11-02 21:54:50,2024-11-02 21:54:50,0.0,0.0,Paris 16e,2024-11-02 21:53:50,1.76,1.82,1.72,1.64,11.15,0.0,0.0,0.0,10.18,20.88,31380.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,8.53
Invalides,onTime,2024-11-02 22:08:50,2024-11-02 22:09:15,2024-11-02 22:09:50,2024-11-02 22:10:15,0.42,0.42,Paris 16e,2024-11-02 22:08:50,1.76,1.82,1.72,1.64,11.15,0.0,0.0,0.0,10.54,20.88,31260.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.81
Gare de Montigny Beauchamp,onTime,2024-11-02 22:19:20,2024-11-02 22:20:30,2024-11-02 22:20:20,2024-11-02 22:21:30,1.17,1.17,Paris 16e,2024-11-02 22:19:20,1.76,1.82,1.72,1.64,11.15,0.0,0.0,0.0,10.54,20.88,31260.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.81
Invalides,onTime,2024-11-02 22:38:50,2024-11-02 22:38:50,2024-11-02 22:39:50,2024-11-02 22:39:50,0.0,0.0,Paris 16e,2024-11-02 22:38:50,1.76,1.82,1.72,1.64,11.05,0.0,0.0,0.0,10.54,21.24,31000.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.81
Gare de Montigny Beauchamp,onTime,2024-11-02 22:49:20,2024-11-02 22:49:20,2024-11-02 22:50:20,2024-11-02 22:50:20,0.0,0.0,Paris 16e,2024-11-02 22:49:20,1.76,1.82,1.72,1.64,11.05,0.0,0.0,0.0,10.54,21.24,31000.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.81
Invalides,onTime,2024-11-02 23:08:50,2024-11-02 23:10:10,2024-11-02 23:09:50,2024-11-02 23:11:10,1.33,1.33,Paris 16e,2024-11-02 23:08:50,1.76,1.82,1.72,1.64,11.15,0.0,0.0,0.0,10.59,21.24,30980.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,1.6
Gare de Montigny Beauchamp,onTime,2024-11-02 23:19:20,2024-11-02 23:20:00,2024-11-02 23:20:20,2024-11-02 23:21:00,0.67,0.67,Paris 16e,2024-11-02 23:19:20,1.76,1.82,1.72,1.64,11.15,0.0,0.0,0.0,10.59,21.24,30980.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,1.6
Invalides,onTime,2024-11-03 04:38:50,2024-11-03 04:38:50,2024-11-03 04:39:50,2024-11-03 04:39:50,0.0,0.0,Paris 16e,2024-11-03 04:38:50,1.76,1.82,1.72,1.64,9.95,0.0,0.0,0.0,7.64,19.08,23220.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,
Gare de Montigny Beauchamp,onTime,2024-11-03 04:49:20,2024-11-03 04:49:20,2024-11-03 04:50:20,2024-11-03 04:50:20,0.0,0.0,Paris 16e,2024-11-03 04:49:20,1.76,1.82,1.72,1.64,9.95,0.0,0.0,0.0,7.64,19.08,23220.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,
Invalides,onTime,2024-11-03 04:53:50,2024-11-03 04:55:28,2024-11-03 04:54:50,2024-11-03 04:56:28,1.63,1.63,Paris 16e,2024-11-03 04:53:50,1.76,1.82,1.72,1.64,9.9,0.0,0.0,0.0,7.59,18.0,22900.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,
Gare de Pontoise,onTime,2024-11-03 05:04:20,2024-11-03 05:05:00,2024-11-03 05:05:20,2024-11-03 05:06:00,0.67,0.67,Paris 16e,2024-11-03 05:04:20,1.76,1.82,1.72,1.64,9.9,0.0,0.0,0.0,7.59,18.0,22900.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.28
Invalides,onTime,2024-11-03 05:08:50,2024-11-03 05:09:30,2024-11-03 05:09:50,2024-11-03 05:10:30,0.67,0.67,Paris 16e,2024-11-03 05:08:50,1.76,1.82,1.72,1.64,9.9,0.0,0.0,0.0,7.59,17.64,22460.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.28
Gare de Montigny Beauchamp,onTime,2024-11-03 05:19:20,2024-11-03 05:19:30,2024-11-03 05:20:20,2024-11-03 05:20:30,0.17,0.17,Paris 16e,2024-11-03 05:19:20,1.76,1.82,1.72,1.64,9.9,0.0,0.0,0.0,7.59,17.64,22460.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.28
Invalides,onTime,2024-11-03 05:23:50,2024-11-03 05:23:50,2024-11-03 05:24:50,2024-11-03 05:24:50,0.0,0.0,Paris 16e,2024-11-03 05:23:50,1.76,1.82,1.72,1.64,9.9,0.0,0.0,0.0,8.05,17.28,22020.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.28
Gare de Pontoise,onTime,2024-11-03 05:34:20,2024-11-03 05:34:20,2024-11-03 05:35:20,2024-11-03 05:35:20,0.0,0.0,Paris 16e,2024-11-03 05:34:20,1.76,1.82,1.72,1.64,9.9,0.0,0.0,0.0,8.05,17.28,22020.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.28
Invalides,onTime,2024-11-03 05:38:50,2024-11-03 05:38:50,2024-11-03 05:39:50,2024-11-03 05:39:50,0.0,0.0,Paris 16e,2024-11-03 05:38:50,1.76,1.82,1.72,1.64,9.9,0.0,0.0,0.0,8.56,16.92,21560.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.28
Gare de Montigny Beauchamp,onTime,2024-11-03 05:49:20,2024-11-03 05:49:20,2024-11-03 05:50:20,2024-11-03 05:50:20,0.0,0.0,Paris 16e,2024-11-03 05:49:20,1.76,1.82,1.72,1.64,9.9,0.0,0.0,0.0,8.56,16.92,21560.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.28
Invalides,onTime,2024-11-03 05:53:50,2024-11-03 05:55:24,2024-11-03 05:54:50,2024-11-03 05:56:24,1.57,1.57,Paris 16e,2024-11-03 05:53:50,1.76,1.82,1.72,1.64,9.85,0.0,0.0,0.0,8.65,16.56,21120.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.28
Gare de Pontoise,onTime,2024-11-03 06:04:20,2024-11-03 06:05:00,2024-11-03 06:05:20,2024-11-03 06:06:00,0.67,0.67,Paris 16e,2024-11-03 06:04:20,1.76,1.82,1.72,1.64,9.85,0.0,0.0,0.0,8.65,16.56,21120.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.53
Invalides,onTime,2024-11-03 06:08:50,2024-11-03 06:09:30,2024-11-03 06:09:50,2024-11-03 06:10:30,0.67,0.67,Paris 16e,2024-11-03 06:08:50,1.76,1.82,1.72,1.64,9.8,0.0,0.0,0.0,8.77,17.28,19440.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.53
