destination_name,departure_status,real_arrival,real_departure,ArRTown,temperature_2m,precipitation,rain,snowfall,wind_speed_10m,wind_gusts_10m,visibility,is_day,Date,day_of_week,day_type,is_bank_holiday,is_holiday,saturday,sunday,is_weekend,is_weekend_or_bank_holiday,pourc_validations
Nation,onTime,2024-11-02 20:42:03,2024-11-02 20:42:03,Paris 9e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.94
Porte Dauphine (Maréchal de Lattre de Tassigny),onTime,2024-11-02 20:42:33,2024-11-02 20:42:33,Paris 9e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.94
Porte Dauphine (Maréchal de Lattre de Tassigny),onTime,2024-11-02 20:47:43,2024-11-02 20:47:43,Paris 9e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.94
Nation,onTime,2024-11-02 20:50:13,2024-11-02 20:50:13,Paris 9e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.94
Porte Dauphine (Maréchal de Lattre de Tassigny),onTime,2024-11-02 20:53:53,2024-11-02 20:53:53,Paris 9e,11.2,0.0,0.0,0.0,8.91,16.2,32680.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.94
Nation,onTime,2024-11-02 20:56:03,2024-11-02 20:56:03,Paris 9e,11.2,0.0,0.0,0.0,8.91,16.2,32680.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.94
Porte Dauphine (Maréchal de Lattre de Tassigny),onTime,2024-11-02 20:58:13,2024-11-02 20:58:13,Paris 9e,11.2,0.0,0.0,0.0,8.91,16.2,32680.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.94
Nation,onTime,2024-11-02 21:01:13,2024-11-02 21:01:13,Paris 9e,11.2,0.0,0.0,0.0,8.91,16.2,32680.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.04
Nation,onTime,2024-11-02 21:27:57,2024-11-02 21:27:57,Paris 9e,11.2,0.0,0.0,0.0,9.53,18.72,32040.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.04
Porte Dauphine (Maréchal de Lattre de Tassigny),onTime,2024-11-02 21:31:55,2024-11-02 21:31:55,Paris 9e,11.2,0.0,0.0,0.0,9.53,18.72,32040.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.04
