destination_name,departure_status,real_arrival,real_departure,ArRTown,temperature_2m,precipitation,rain,snowfall,wind_speed_10m,wind_gusts_10m,visibility,is_day,Date,day_of_week,day_type,is_bank_holiday,is_holiday,saturday,sunday,is_weekend,is_weekend_or_bank_holiday,pourc_validations
Château de Vincennes,delayed,2024-10-30 00:28:39,2024-10-30 00:28:39,Paris 17e,10.7,0.0,0.0,0.0,1.61,3.24,860.0,False,2024-10-30,2,JOVS,0,1,0,0,0,0,1.1
Château de Vincennes,delayed,2024-10-30 01:28:52,2024-10-30 01:28:52,Paris 17e,11.05,0.0,0.0,0.0,1.84,4.32,2000.0,False,2024-10-30,2,JOVS,0,1,0,0,0,0,0.18
Château de Vincennes,delayed,2024-10-30 02:26:05,2024-10-30 02:26:05,Paris 17e,11.35,0.0,0.0,0.0,2.41,6.12,3260.0,False,2024-10-30,2,JOVS,0,1,0,0,0,0,0.0
Château de Vincennes,delayed,2024-10-30 03:29:28,2024-10-30 03:29:28,Paris 17e,11.35,0.0,0.0,0.0,2.31,6.48,3580.0,False,2024-10-30,2,JOVS,0,1,0,0,0,0,0.0
Château de Vincennes,onTime,2024-11-02 20:38:45,2024-11-02 20:38:45,Paris 17e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,6.69
Château de Vincennes,onTime,2024-11-02 20:44:30,2024-11-02 20:44:30,Paris 17e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,6.69
La Défense (Grande Arche),onTime,2024-11-02 20:44:50,2024-11-02 20:44:50,Paris 17e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,6.69
Château de Vincennes,onTime,2024-11-02 20:49:13,2024-11-02 20:49:13,Paris 17e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,6.69
La Défense (Grande Arche),onTime,2024-11-02 20:50:43,2024-11-02 20:50:43,Paris 17e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,6.69
Château de Vincennes,onTime,2024-11-02 20:53:13,2024-11-02 20:53:13,Paris 17e,11.2,0.0,0.0,0.0,8.91,16.2,32680.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,6.69
