timestamp,stop_reference,stop_name,line_ref,transport_mode,destination_name,departure_status,scheduled_arrival,real_arrival,scheduled_departure,real_departure,arrival_difference,departure_difference,recorded_at_time
2024-12-19 18:09:16,21902,République,STIF:Line::C01373:,metro,Gallieni (Parc de Bagnolet),onTime,N/A,2024-12-19T17:09:26.028Z,N/A,2024-12-19T17:09:26.028Z,,,2024-12-19T17:09:04.028Z
2024-12-19 18:09:16,21902,République,STIF:Line::C01373:,metro,Gallieni (Parc de Bagnolet),onTime,N/A,2024-12-19T17:10:27.573Z,N/A,2024-12-19T17:10:27.573Z,,,2024-12-19T17:06:27.573Z
2024-12-19 18:09:16,21902,République,STIF:Line::C01373:,metro,Gallieni (Parc de Bagnolet),onTime,N/A,2024-12-19T17:13:36.538Z,N/A,2024-12-19T17:13:36.538Z,,,2024-12-19T17:04:36.538Z
2024-12-19 18:09:16,21902,République,STIF:Line::C01373:,metro,Gallieni (Parc de Bagnolet),onTime,N/A,2024-12-19T17:15:30.531Z,N/A,2024-12-19T17:15:30.531Z,,,2024-12-19T17:08:30.531Z
2024-12-19 18:09:16,21903,République,STIF:Line::C01375:,metro,Place d'Italie,onTime,N/A,2024-12-19T17:13:24.651Z,N/A,2024-12-19T17:13:24.651Z,,,2024-12-19T17:00:24.651Z
2024-12-19 18:09:16,21903,République,STIF:Line::C01375:,metro,Place d'Italie,onTime,N/A,2024-12-19T17:18:15.715Z,N/A,2024-12-19T17:18:15.715Z,,,2024-12-19T17:05:15.715Z
2024-12-19 18:09:16,21903,République,STIF:Line::C01375:,metro,Place d'Italie,onTime,N/A,2024-12-19T17:19:15.589Z,N/A,2024-12-19T17:19:15.589Z,,,2024-12-19T17:06:15.589Z
2024-12-19 18:09:16,21904,Michel-Ange-Molitor,STIF:Line::C01380:,metro,Gare d'Austerlitz,onTime,N/A,2024-12-19T17:11:42.411Z,N/A,2024-12-19T17:11:42.411Z,,,2024-12-19T17:07:42.411Z
2024-12-19 18:09:16,21904,Michel-Ange-Molitor,STIF:Line::C01380:,metro,Gare d'Austerlitz,onTime,N/A,2024-12-19T17:15:22.402Z,N/A,2024-12-19T17:15:22.402Z,,,2024-12-19T17:07:22.402Z
2024-12-19 18:09:16,21904,Michel-Ange-Molitor,STIF:Line::C01380:,metro,Gare d'Austerlitz,onTime,N/A,2024-12-19T17:17:40.622Z,N/A,2024-12-19T17:17:40.622Z,,,2024-12-19T17:04:40.622Z
2024-12-19 18:09:16,21904,Michel-Ange-Molitor,STIF:Line::C01380:,metro,Gare d'Austerlitz,onTime,N/A,2024-12-19T17:21:00.332Z,N/A,2024-12-19T17:21:00.332Z,,,2024-12-19T17:07:00.332Z
2024-12-19 18:09:16,21905,Oberkampf,STIF:Line::C01375:,metro,Place d'Italie,onTime,N/A,2024-12-19T17:11:43.025Z,N/A,2024-12-19T17:11:43.025Z,,,2024-12-19T17:01:43.025Z
2024-12-19 18:09:16,21905,Oberkampf,STIF:Line::C01375:,metro,Place d'Italie,onTime,N/A,2024-12-19T17:14:53.023Z,N/A,2024-12-19T17:14:53.023Z,,,2024-12-19T17:08:53.023Z
2024-12-19 18:09:16,21905,Oberkampf,STIF:Line::C01375:,metro,Place d'Italie,onTime,N/A,2024-12-19T17:19:23.023Z,N/A,2024-12-19T17:19:23.023Z,,,2024-12-19T17:05:23.023Z
2024-12-19 18:09:16,21905,Oberkampf,STIF:Line::C01375:,metro,Place d'Italie,onTime,N/A,2024-12-19T17:21:53.023Z,N/A,2024-12-19T17:21:53.023Z,,,2024-12-19T17:08:53.023Z
2024-12-19 18:09:17,21906,Havre-Caumartin,STIF:Line::C01373:,metro,Gallieni (Parc de Bagnolet),onTime,N/A,2024-12-19T17:09:07.534Z,N/A,2024-12-19T17:09:07.534Z,,,2024-12-19T17:08:45.534Z
2024-12-19 18:09:17,21906,Havre-Caumartin,STIF:Line::C01373:,metro,Gallieni (Parc de Bagnolet),onTime,N/A,2024-12-19T17:12:09.522Z,N/A,2024-12-19T17:12:09.522Z,,,2024-12-19T17:04:09.522Z
2024-12-19 18:09:17,21906,Havre-Caumartin,STIF:Line::C01373:,metro,Gallieni (Parc de Bagnolet),onTime,N/A,2024-12-19T17:14:33.523Z,N/A,2024-12-19T17:14:33.523Z,,,2024-12-19T17:05:33.523Z
2024-12-19 18:09:17,21906,Havre-Caumartin,STIF:Line::C01373:,metro,Gallieni (Parc de Bagnolet),onTime,N/A,2024-12-19T17:15:57.547Z,N/A,2024-12-19T17:15:57.547Z,,,2024-12-19T17:07:57.547Z
2024-12-19 18:09:17,21907,Michel-Ange-Auteuil,STIF:Line::C01380:,metro,Boulogne Pont de Saint-Cloud,onTime,N/A,2024-12-19T17:12:32.411Z,N/A,2024-12-19T17:12:32.411Z,,,2024-12-19T17:07:32.411Z
