destination_name,departure_status,scheduled_arrival,real_arrival,scheduled_departure,real_departure,arrival_difference,departure_difference,ArRTown,nearest_datetime,95,98,E10,gazole,temperature_2m,precipitation,rain,snowfall,wind_speed_10m,wind_gusts_10m,visibility,is_day,Date,day_of_week,day_type,is_bank_holiday,is_holiday,saturday,sunday,is_weekend,is_weekend_or_bank_holiday,pourc_validations
Saint-Rémy-lès-Chevreuse,delayed,2024-10-30 10:46:02,2024-10-30 10:53:37,2024-10-30 10:46:02,2024-10-30 10:53:37,7.58,7.58,Massy,2024-10-30 10:46:02,1.76,1.82,1.72,1.63,13.05,0.0,0.0,0.0,6.57,14.76,11400.0,True,2024-10-30,2,JOVS,0,1,0,0,0,0,2.2
Orsay - Ville,delayed,2024-10-30 18:05:32,2024-10-30 18:12:32,2024-10-30 18:05:32,2024-10-30 18:12:32,7.0,7.0,Massy,2024-10-30 18:05:32,1.76,1.82,1.72,1.63,13.35,0.0,0.0,0.0,6.83,12.96,10560.0,False,2024-10-30,2,JOVS,0,1,0,0,0,0,12.75
Saint-Rémy-lès-Chevreuse,delayed,2024-10-30 18:15:29,2024-10-30 18:23:29,2024-10-30 18:15:29,2024-10-30 18:23:29,8.0,8.0,Massy,2024-10-30 18:15:29,1.76,1.82,1.72,1.63,13.3,0.0,0.0,0.0,6.73,12.96,10220.0,False,2024-10-30,2,JOVS,0,1,0,0,0,0,12.75
Saint-Rémy-lès-Chevreuse,delayed,2024-10-30 19:15:29,2024-10-30 19:22:29,2024-10-30 19:15:29,2024-10-30 19:22:29,7.0,7.0,Massy,2024-10-30 19:15:29,1.76,1.82,1.72,1.63,13.2,0.0,0.0,0.0,5.77,12.6,9640.0,False,2024-10-30,2,JOVS,0,1,0,0,0,0,6.91
Saint-Rémy-lès-Chevreuse,delayed,2024-10-30 19:31:02,2024-10-30 19:37:07,2024-10-30 19:31:02,2024-10-30 19:37:07,6.08,6.08,Massy,2024-10-30 19:31:02,1.76,1.82,1.72,1.63,13.2,0.0,0.0,0.0,5.41,12.24,10120.0,False,2024-10-30,2,JOVS,0,1,0,0,0,0,6.91
Saint-Rémy-lès-Chevreuse,delayed,2024-10-30 21:28:02,2024-10-30 21:35:32,2024-10-30 21:28:02,2024-10-30 21:35:32,7.5,7.5,Massy,2024-10-30 21:28:02,1.76,1.82,1.72,1.63,12.15,0.0,0.0,0.0,6.03,11.52,7960.0,False,2024-10-30,2,JOVS,0,1,0,0,0,0,1.07
Saint-Rémy-lès-Chevreuse,onTime,2024-11-02 20:55:02,2024-11-02 20:55:02,2024-11-02 20:55:02,2024-11-02 20:55:02,0.0,0.0,Massy,2024-11-02 20:55:02,1.76,1.82,1.72,1.64,11.2,0.0,0.0,0.0,8.91,16.2,32680.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,4.63
Paris Gare du Nord,onTime,,,2024-11-02 20:59:17,2024-11-02 20:59:17,,0.0,Massy,2024-11-02 20:59:17,1.76,1.82,1.72,1.64,11.2,0.0,0.0,0.0,8.91,16.2,32680.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,4.63
Saint-Rémy-lès-Chevreuse,onTime,2024-11-02 21:13:02,2024-11-02 21:13:02,2024-11-02 21:13:02,2024-11-02 21:13:02,0.0,0.0,Massy,2024-11-02 21:13:02,1.76,1.82,1.72,1.64,11.2,0.0,0.0,0.0,9.26,17.28,32360.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.2
Saint-Rémy-lès-Chevreuse,onTime,2024-11-02 21:31:02,2024-11-02 21:31:02,2024-11-02 21:31:02,2024-11-02 21:31:02,0.0,0.0,Massy,2024-11-02 21:31:02,1.76,1.82,1.72,1.64,11.2,0.0,0.0,0.0,9.53,18.72,32040.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.2
