date,temperature_2m,precipitation,visibility,wind_speed_10m
2024-09-24 00:00:00,14.32,0.0,3220.0,11.02
2024-09-24 01:00:00,14.72,0.0,10740.0,8.16
2024-09-24 02:00:00,14.67,0.0,8200.0,7.29
2024-09-24 03:00:00,14.57,0.4,4360.0,7.59
2024-09-24 04:00:00,14.87,0.1,12880.0,11.25
2024-09-24 05:00:00,14.72,0.3,18540.0,13.32
2024-09-24 06:00:00,14.72,0.0,18940.0,12.98
2024-09-24 07:00:00,14.62,0.3,18280.0,12.73
2024-09-24 08:00:00,14.82,0.0,22900.0,11.97
2024-09-24 09:00:00,15.07,0.3,22360.0,14.0
2024-09-24 10:00:00,15.27,0.6,23380.0,14.62
2024-09-24 11:00:00,15.92,0.4,26660.0,14.58
2024-09-24 12:00:00,16.47,0.0,32700.0,15.12
2024-09-24 13:00:00,16.87,0.0,34840.0,11.12
2024-09-24 14:00:00,17.32,0.0,38700.0,12.9
2024-09-24 15:00:00,17.02,0.0,33300.0,12.56
2024-09-24 16:00:00,17.17,0.0,45060.0,12.98
2024-09-24 17:00:00,16.27,0.0,30780.0,11.18
2024-09-24 18:00:00,15.42,0.1,16620.0,5.63
2024-09-24 19:00:00,15.37,0.0,15600.0,4.9
2024-09-24 20:00:00,15.22,0.0,19340.0,5.24
2024-09-24 21:00:00,14.72,0.0,15180.0,5.4
2024-09-24 22:00:00,14.57,0.0,12940.0,4.1
2024-09-24 23:00:00,14.32,0.0,11680.0,4.33
2024-09-25 00:00:00,14.12,0.0,7500.0,6.92
2024-09-25 01:00:00,13.97,0.0,6140.0,6.49
2024-09-25 02:00:00,13.72,0.0,5080.0,6.49
2024-09-25 03:00:00,13.77,0.0,2180.0,7.57
2024-09-25 04:00:00,13.37,0.0,2060.0,8.29
2024-09-25 05:00:00,13.17,0.0,1020.0,9.18
2024-09-25 06:00:00,13.47,0.0,4800.0,9.39
2024-09-25 07:00:00,13.57,0.0,5480.0,11.66
2024-09-25 08:00:00,14.02,0.3,6580.0,6.16
2024-09-25 09:00:00,14.87,0.0,6540.0,7.86
2024-09-25 10:00:00,16.07,0.0,19160.0,9.93
2024-09-25 11:00:00,15.77,0.5,21560.0,8.4
2024-09-25 12:00:00,16.22,0.1,20800.0,10.5
2024-09-25 13:00:00,16.07,0.4,8080.0,8.83
2024-09-25 14:00:00,15.97,1.5,7580.0,9.73
2024-09-25 15:00:00,15.82,0.4,22220.0,14.04
2024-09-25 16:00:00,15.42,1.4,12420.0,8.31
2024-09-25 17:00:00,15.37,1.4,7720.0,11.87
2024-09-25 18:00:00,15.37,2.0,11700.0,15.48
2024-09-25 19:00:00,15.12,1.9,9560.0,13.0
2024-09-25 20:00:00,15.22,1.8,6980.0,14.04
2024-09-25 21:00:00,15.87,1.3,7360.0,11.88
2024-09-25 22:00:00,15.87,1.6,5320.0,10.9
2024-09-25 23:00:00,15.97,1.4,5320.0,10.09
2024-09-26 00:00:00,16.12,0.0,5780.0,9.26
2024-09-26 01:00:00,16.12,0.3,6260.0,6.7
2024-09-26 02:00:00,16.17,0.0,8120.0,7.93
2024-09-26 03:00:00,16.07,0.0,7860.0,8.4
2024-09-26 04:00:00,16.22,0.0,17640.0,10.99
2024-09-26 05:00:00,16.07,0.0,18200.0,7.49
2024-09-26 06:00:00,15.87,0.0,20380.0,8.31
2024-09-26 07:00:00,15.87,0.0,17000.0,9.73
2024-09-26 08:00:00,16.27,0.0,9780.0,10.14
2024-09-26 09:00:00,17.02,0.1,26320.0,14.4
2024-09-26 10:00:00,17.67,0.2,27440.0,14.17
2024-09-26 11:00:00,17.87,0.4,26100.0,14.18
2024-09-26 12:00:00,18.37,0.1,11740.0,16.28
2024-09-26 13:00:00,17.67,4.7,23840.0,14.39
2024-09-26 14:00:00,16.27,2.4,5800.0,16.87
2024-09-26 15:00:00,15.72,0.6,4180.0,19.2
2024-09-26 16:00:00,15.82,1.0,30000.0,16.38
2024-09-26 17:00:00,16.37,0.0,30700.0,14.34
2024-09-26 18:00:00,16.02,0.0,40740.0,16.92
2024-09-26 19:00:00,15.62,0.0,47880.0,18.08
2024-09-26 20:00:00,15.22,0.0,50540.0,17.15
2024-09-26 21:00:00,14.77,0.0,39600.0,13.51
2024-09-26 22:00:00,14.12,0.0,41900.0,16.09
2024-09-26 23:00:00,13.67,0.0,38380.0,13.83
2024-09-27 00:00:00,13.07,0.0,34080.0,12.73
2024-09-27 01:00:00,12.82,0.0,26860.0,12.57
2024-09-27 02:00:00,12.62,0.0,24080.0,11.53
2024-09-27 03:00:00,12.72,0.0,28800.0,13.4
2024-09-27 04:00:00,12.62,0.0,30340.0,13.28
2024-09-27 05:00:00,12.47,0.0,35260.0,11.68
2024-09-27 06:00:00,12.12,0.0,33960.0,12.4
2024-09-27 07:00:00,12.42,0.0,34300.0,11.89
2024-09-27 08:00:00,13.17,0.0,42700.0,19.62
2024-09-27 09:00:00,14.32,0.0,53280.0,19.6
2024-09-27 10:00:00,15.52,0.0,66260.0,19.59
2024-09-27 11:00:00,15.77,0.0,65820.0,18.36
2024-09-27 12:00:00,15.27,0.0,57620.0,17.32
2024-09-27 13:00:00,14.72,0.0,44320.0,20.24
