Date;Calendrier Zone A;Calendrier Zone B;Calendrier Zone C;Nom de la période;timestamp_unix
1999-09-13;Hors Vacances;Hors Vacances;Hors Vacances;;937180800
2000-01-03;Hors Vacances;Hors Vacances;Hors Vacances;;946857600
2000-02-29;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;951782400
2000-04-21;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;956275200
2000-04-26;Vacances de printemps;Hors Vacances;Hors Vacances;Vacances de printemps;956707200
2000-05-14;Hors Vacances;Hors Vacances;Hors Vacances;;958262400
2000-07-06;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;962841600
2000-07-09;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;963100800
2000-08-31;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;967680000
2000-09-03;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;967939200
2000-09-23;Hors Vacances;Hors Vacances;Hors Vacances;;969667200
2000-10-04;Hors Vacances;Hors Vacances;Hors Vacances;;970617600
2000-11-03;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;973209600
2000-11-08;Hors Vacances;Hors Vacances;Hors Vacances;;973641600
2000-11-25;Hors Vacances;Hors Vacances;Hors Vacances;;975110400
2001-02-03;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;981158400
2001-02-04;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;981244800
2001-02-05;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;981331200
2001-04-03;Vacances de printemps;Hors Vacances;Hors Vacances;Vacances de printemps;986256000
2001-05-20;Hors Vacances;Hors Vacances;Hors Vacances;;990316800
2001-07-08;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;994550400
2001-08-06;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;997056000
2001-10-21;Hors Vacances;Hors Vacances;Hors Vacances;;1003622400
2001-12-16;Hors Vacances;Hors Vacances;Hors Vacances;;1008460800
2002-02-24;Vacances d'hiver;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1014508800
2002-03-14;Hors Vacances;Hors Vacances;Hors Vacances;;1016064000
2002-03-28;Hors Vacances;Hors Vacances;Hors Vacances;;1017273600
2002-04-07;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;1018137600
2002-04-16;Vacances de printemps;Hors Vacances;Vacances de printemps;Vacances de printemps;1018915200
2002-05-11;Hors Vacances;Hors Vacances;Hors Vacances;;1021075200
2002-05-23;Hors Vacances;Hors Vacances;Hors Vacances;;1022112000
2002-05-26;Hors Vacances;Hors Vacances;Hors Vacances;;1022371200
2002-06-07;Hors Vacances;Hors Vacances;Hors Vacances;;1023408000
2002-08-11;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1029024000
2002-08-23;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1030060800
2002-09-05;Hors Vacances;Hors Vacances;Hors Vacances;;1031184000
2002-09-09;Hors Vacances;Hors Vacances;Hors Vacances;;1031529600
2002-11-12;Hors Vacances;Hors Vacances;Hors Vacances;;1037059200
2002-12-16;Hors Vacances;Hors Vacances;Hors Vacances;;1039996800
2003-03-05;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;1046822400
2003-03-11;Hors Vacances;Hors Vacances;Hors Vacances;;1047340800
2003-03-25;Hors Vacances;Hors Vacances;Hors Vacances;;1048550400
2003-04-22;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;1050969600
2003-06-20;Hors Vacances;Hors Vacances;Hors Vacances;;1056067200
2003-07-17;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1058400000
2003-08-16;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1060992000
2003-08-17;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1061078400
2003-08-19;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1061251200
2003-11-11;Hors Vacances;Hors Vacances;Hors Vacances;;1068508800
2003-11-16;Hors Vacances;Hors Vacances;Hors Vacances;;1068940800
2003-11-26;Hors Vacances;Hors Vacances;Hors Vacances;;1069804800
2003-12-21;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1071964800
2004-01-10;Hors Vacances;Hors Vacances;Hors Vacances;;1073692800
2004-02-25;Hors Vacances;Vacances d'hiver;Vacances d'hiver;Vacances d'hiver;1077667200
2004-04-22;Hors Vacances;Vacances de printemps;Vacances de printemps;Vacances de printemps;1082592000
2004-05-24;Hors Vacances;Hors Vacances;Hors Vacances;;1085356800
2004-07-08;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1089244800
2004-10-15;Hors Vacances;Hors Vacances;Hors Vacances;;1097798400
2004-10-31;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1099180800
2004-12-26;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1104019200
2005-01-28;Hors Vacances;Hors Vacances;Hors Vacances;;1106870400
2005-05-17;Hors Vacances;Hors Vacances;Hors Vacances;;1116288000
2005-05-26;Hors Vacances;Hors Vacances;Hors Vacances;;1117065600
2005-08-11;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1123718400
2005-08-15;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1124064000
2005-09-24;Hors Vacances;Hors Vacances;Hors Vacances;;1127520000
2005-11-08;Hors Vacances;Hors Vacances;Hors Vacances;;1131408000
2005-11-10;Hors Vacances;Hors Vacances;Hors Vacances;;1131580800
2005-12-24;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1135382400
2006-02-25;Vacances d'hiver;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1140825600
2006-03-11;Hors Vacances;Hors Vacances;Hors Vacances;;1142035200
2006-03-26;Hors Vacances;Hors Vacances;Hors Vacances;;1143331200
2006-03-31;Hors Vacances;Hors Vacances;Hors Vacances;;1143763200
2006-04-06;Hors Vacances;Hors Vacances;Hors Vacances;;1144281600
2006-07-04;Hors Vacances;Hors Vacances;Hors Vacances;;1151971200
2006-08-13;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1155427200
2006-08-22;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1156204800
2006-09-04;Hors Vacances;Hors Vacances;Hors Vacances;;1157328000
2006-10-05;Hors Vacances;Hors Vacances;Hors Vacances;;1160006400
2006-10-24;Hors Vacances;Hors Vacances;Hors Vacances;;1161648000
2006-10-25;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1161734400
2006-11-03;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1162512000
2006-11-13;Hors Vacances;Hors Vacances;Hors Vacances;;1163376000
2006-11-14;Hors Vacances;Hors Vacances;Hors Vacances;;1163462400
2007-01-03;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1167782400
2007-01-22;Hors Vacances;Hors Vacances;Hors Vacances;;1169424000
2007-02-07;Hors Vacances;Hors Vacances;Hors Vacances;;1170806400
2007-02-20;Vacances d'hiver;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1171929600
2007-06-18;Hors Vacances;Hors Vacances;Hors Vacances;;1182124800
2007-08-19;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1187481600
2007-08-21;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1187654400
2007-08-24;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1187913600
2007-09-15;Hors Vacances;Hors Vacances;Hors Vacances;;1189814400
2007-09-30;Hors Vacances;Hors Vacances;Hors Vacances;;1191110400
