destination_name,departure_status,real_arrival,real_departure,ArRTown,temperature_2m,precipitation,rain,snowfall,wind_speed_10m,wind_gusts_10m,visibility,is_day,Date,day_of_week,day_type,is_bank_holiday,is_holiday,saturday,sunday,is_weekend,is_weekend_or_bank_holiday,pourc_validations
Mairie d'Aubervilliers,onTime,2024-11-02 20:39:36,2024-11-02 20:39:36,Paris 9e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.27
Mairie d'Aubervilliers,onTime,2024-11-02 20:39:36,2024-11-02 20:39:36,Paris 9e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,6.06
Mairie d'Issy,onTime,2024-11-02 20:41:50,2024-11-02 20:41:50,Paris 9e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.27
Mairie d'Issy,onTime,2024-11-02 20:41:50,2024-11-02 20:41:50,Paris 9e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,6.06
Mairie d'Aubervilliers,onTime,2024-11-02 20:43:29,2024-11-02 20:43:29,Paris 9e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.27
Mairie d'Aubervilliers,onTime,2024-11-02 20:43:29,2024-11-02 20:43:29,Paris 9e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,6.06
Mairie d'Issy,onTime,2024-11-02 20:47:26,2024-11-02 20:47:26,Paris 9e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.27
Mairie d'Issy,onTime,2024-11-02 20:47:26,2024-11-02 20:47:26,Paris 9e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,6.06
Mairie d'Aubervilliers,onTime,2024-11-02 20:48:53,2024-11-02 20:48:53,Paris 9e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.27
Mairie d'Aubervilliers,onTime,2024-11-02 20:48:53,2024-11-02 20:48:53,Paris 9e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,6.06
Mairie d'Issy,onTime,2024-11-02 20:50:41,2024-11-02 20:50:41,Paris 9e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.27
Mairie d'Issy,onTime,2024-11-02 20:50:41,2024-11-02 20:50:41,Paris 9e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,6.06
Mairie d'Aubervilliers,onTime,2024-11-02 20:54:41,2024-11-02 20:54:41,Paris 9e,11.2,0.0,0.0,0.0,8.91,16.2,32680.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.27
Mairie d'Aubervilliers,onTime,2024-11-02 20:54:41,2024-11-02 20:54:41,Paris 9e,11.2,0.0,0.0,0.0,8.91,16.2,32680.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,6.06
Mairie d'Issy,onTime,2024-11-02 20:56:11,2024-11-02 20:56:11,Paris 9e,11.2,0.0,0.0,0.0,8.91,16.2,32680.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.27
Mairie d'Issy,onTime,2024-11-02 20:56:11,2024-11-02 20:56:11,Paris 9e,11.2,0.0,0.0,0.0,8.91,16.2,32680.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,6.06
Mairie d'Issy,onTime,2024-11-02 21:33:20,2024-11-02 21:33:20,Paris 9e,11.2,0.0,0.0,0.0,9.53,18.72,32040.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,3.05
Mairie d'Issy,onTime,2024-11-02 21:33:20,2024-11-02 21:33:20,Paris 9e,11.2,0.0,0.0,0.0,9.53,18.72,32040.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.89
Mairie d'Aubervilliers,onTime,2024-11-02 21:36:17,2024-11-02 21:36:17,Paris 9e,11.2,0.0,0.0,0.0,9.53,18.72,32040.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,3.05
Mairie d'Aubervilliers,onTime,2024-11-02 21:36:17,2024-11-02 21:36:17,Paris 9e,11.2,0.0,0.0,0.0,9.53,18.72,32040.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.89
Mairie d'Issy,onTime,2024-11-02 21:37:23,2024-11-02 21:37:23,Paris 9e,11.2,0.0,0.0,0.0,9.53,18.72,32040.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,3.05
Mairie d'Issy,onTime,2024-11-02 21:37:23,2024-11-02 21:37:23,Paris 9e,11.2,0.0,0.0,0.0,9.53,18.72,32040.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.89
Mairie d'Aubervilliers,onTime,2024-11-02 21:38:57,2024-11-02 21:38:57,Paris 9e,11.2,0.0,0.0,0.0,9.83,19.8,31700.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,3.05
Mairie d'Aubervilliers,onTime,2024-11-02 21:38:57,2024-11-02 21:38:57,Paris 9e,11.2,0.0,0.0,0.0,9.83,19.8,31700.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.89
Mairie d'Issy,onTime,2024-11-02 21:42:41,2024-11-02 21:42:41,Paris 9e,11.2,0.0,0.0,0.0,9.83,19.8,31700.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,3.05
