stop_name,destination_name,departure_status,real_arrival,real_departure,ArRTown,temperature_2m,precipitation,rain,snowfall,wind_speed_10m,wind_gusts_10m,visibility,is_day,Date,day_of_week,day_type,is_bank_holiday,is_holiday,saturday,sunday,is_weekend,is_weekend_or_bank_holiday,pourc_validations
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-02 20:41:43,2024-11-02 20:41:43,Paris 6e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.61
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-02 20:42:23,2024-11-02 20:42:23,Paris 6e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.61
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-02 20:46:01,2024-11-02 20:46:01,Paris 6e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.61
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-02 20:46:11,2024-11-02 20:46:11,Paris 6e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.61
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-02 20:49:46,2024-11-02 20:49:46,Paris 6e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.61
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-02 20:50:01,2024-11-02 20:50:01,Paris 6e,11.2,0.0,0.0,0.0,8.91,17.64,33060.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.61
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-02 20:53:26,2024-11-02 20:53:26,Paris 6e,11.2,0.0,0.0,0.0,8.91,16.2,32680.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.61
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-02 20:54:39,2024-11-02 20:54:39,Paris 6e,11.2,0.0,0.0,0.0,8.91,16.2,32680.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,5.61
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-02 21:31:00,2024-11-02 21:31:00,Paris 6e,11.2,0.0,0.0,0.0,9.53,18.72,32040.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,4.05
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-02 21:31:26,2024-11-02 21:31:26,Paris 6e,11.2,0.0,0.0,0.0,9.53,18.72,32040.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,4.05
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-02 21:34:15,2024-11-02 21:34:15,Paris 6e,11.2,0.0,0.0,0.0,9.53,18.72,32040.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,4.05
