timestamp,stop_reference,stop_name,line_ref,transport_mode,destination_name,departure_status,scheduled_arrival,real_arrival,scheduled_departure,real_departure,arrival_difference,departure_difference,recorded_at_time
2024-10-30 00:20:55,462944,Cluny-La Sorbonne,STIF:Line::C01380:,metro,Gare d'Austerlitz,delayed,N/A,2024-10-29T23:42:26.898Z,N/A,2024-10-29T23:42:26.898Z,,,2024-10-29T23:20:26.898Z
2024-10-30 00:20:57,462958,Javel-André-Citroen,STIF:Line::C01380:,metro,Gare d'Austerlitz,delayed,N/A,2024-10-29T23:28:26.898Z,N/A,2024-10-29T23:28:26.898Z,,,2024-10-29T23:20:26.898Z
2024-10-30 00:21:19,463084,Duroc,STIF:Line::C01380:,metro,Gare d'Austerlitz,delayed,N/A,2024-10-29T23:36:26.898Z,N/A,2024-10-29T23:36:26.898Z,,,2024-10-29T23:20:26.898Z
2024-10-30 00:21:26,463137,Boulogne-Jean-Jaurès,STIF:Line::C01380:,metro,Gare d'Austerlitz,delayed,N/A,2024-10-29T23:22:26.898Z,N/A,2024-10-29T23:22:26.898Z,,,2024-10-29T23:20:26.898Z
2024-10-30 00:21:35,463202,La Motte-Picquet-Grenelle,STIF:Line::C01380:,metro,Gare d'Austerlitz,delayed,N/A,2024-10-29T23:33:26.961Z,N/A,2024-10-29T23:33:26.961Z,,,2024-10-29T23:21:26.961Z
2024-10-30 00:21:48,463315,Ségur,STIF:Line::C01380:,metro,Gare d'Austerlitz,delayed,N/A,2024-10-29T23:35:26.961Z,N/A,2024-10-29T23:35:26.961Z,,,2024-10-29T23:21:26.961Z
2024-10-30 01:20:08,21940,Marcel Sembat,STIF:Line::C01379:,metro,Pont de Sèvres,delayed,N/A,2024-10-30T00:22:19.657Z,N/A,2024-10-30T00:22:19.657Z,,,2024-10-30T00:19:19.657Z
2024-10-30 01:20:24,22074,Saint-Paul (Le Marais),STIF:Line::C01371:,metro,Château de Vincennes,delayed,N/A,2024-10-30T00:42:19.735Z,N/A,2024-10-30T00:42:19.735Z,,,2024-10-30T00:20:19.735Z
2024-10-30 01:20:25,22076,Reuilly-Diderot,STIF:Line::C01371:,metro,Château de Vincennes,delayed,N/A,2024-10-30T00:48:19.735Z,N/A,2024-10-30T00:48:19.735Z,,,2024-10-30T00:20:19.735Z
2024-10-30 01:20:25,22077,Porte de Vincennes,STIF:Line::C01371:,metro,Château de Vincennes,delayed,N/A,2024-10-30T00:52:19.735Z,N/A,2024-10-30T00:52:19.735Z,,,2024-10-30T00:20:19.735Z
2024-10-30 01:20:25,22079,Palais-Royal (Musée du Louvre),STIF:Line::C01371:,metro,Château de Vincennes,delayed,N/A,2024-10-30T00:36:39.675Z,N/A,2024-10-30T00:36:39.675Z,,,2024-10-30T00:19:39.675Z
2024-10-30 01:20:25,22080,Nation,STIF:Line::C01371:,metro,Château de Vincennes,delayed,N/A,2024-10-30T00:50:19.735Z,N/A,2024-10-30T00:50:19.735Z,,,2024-10-30T00:20:19.735Z
2024-10-30 01:20:25,22081,Louvre-Rivoli,STIF:Line::C01371:,metro,Château de Vincennes,delayed,N/A,2024-10-30T00:38:19.735Z,N/A,2024-10-30T00:38:19.735Z,,,2024-10-30T00:20:19.735Z
2024-10-30 01:20:25,22082,Franklin-Roosevelt,STIF:Line::C01371:,metro,Château de Vincennes,delayed,N/A,2024-10-30T00:31:39.675Z,N/A,2024-10-30T00:31:39.675Z,,,2024-10-30T00:19:39.675Z
2024-10-30 01:20:25,22083,Gare de Lyon,STIF:Line::C01371:,metro,Château de Vincennes,delayed,N/A,2024-10-30T00:47:19.735Z,N/A,2024-10-30T00:47:19.735Z,,,2024-10-30T00:20:19.735Z
2024-10-30 01:20:25,22084,George V,STIF:Line::C01371:,metro,Château de Vincennes,delayed,N/A,2024-10-30T00:29:39.675Z,N/A,2024-10-30T00:29:39.675Z,,,2024-10-30T00:19:39.675Z
2024-10-30 01:20:26,22085,Concorde,STIF:Line::C01371:,metro,Château de Vincennes,delayed,N/A,2024-10-30T00:34:39.675Z,N/A,2024-10-30T00:34:39.675Z,,,2024-10-30T00:19:39.675Z
2024-10-30 01:20:26,22086,Charles de Gaulle-Etoile,STIF:Line::C01371:,metro,Château de Vincennes,delayed,N/A,2024-10-30T00:28:39.675Z,N/A,2024-10-30T00:28:39.675Z,,,2024-10-30T00:19:39.675Z
2024-10-30 01:20:26,22087,Châtelet,STIF:Line::C01371:,metro,Château de Vincennes,delayed,N/A,2024-10-30T00:40:19.735Z,N/A,2024-10-30T00:40:19.735Z,,,2024-10-30T00:20:19.735Z
2024-10-30 01:20:26,22090,Champs-Elysées-Clémenceau,STIF:Line::C01371:,metro,Château de Vincennes,delayed,N/A,2024-10-30T00:32:39.675Z,N/A,2024-10-30T00:32:39.675Z,,,2024-10-30T00:19:39.675Z
2024-10-30 01:20:26,22095,Charles de Gaulle-Etoile,STIF:Line::C01376:,metro,Nation,delayed,N/A,2024-10-30T00:50:09.671Z,N/A,2024-10-30T00:50:09.671Z,,,2024-10-30T00:20:09.671Z
2024-10-30 01:20:27,22096,Concorde,STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T00:31:59.676Z,N/A,2024-10-30T00:31:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:27,22097,Bastille,STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T00:44:59.676Z,N/A,2024-10-30T00:44:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:27,22098,Reuilly-Diderot,STIF:Line::C01378:,metro,Balard,delayed,N/A,2024-10-30T00:37:19.714Z,N/A,2024-10-30T00:37:19.714Z,,,2024-10-30T00:20:19.714Z
2024-10-30 01:20:27,22100,Les Sablons (Jardin d'acclimatation),STIF:Line::C01371:,metro,Château de Vincennes,delayed,N/A,2024-10-30T00:24:39.675Z,N/A,2024-10-30T00:24:39.675Z,,,2024-10-30T00:19:39.675Z
2024-10-30 01:20:27,22103,Saint-Mandé,STIF:Line::C01371:,metro,Château de Vincennes,delayed,N/A,2024-10-30T00:54:19.735Z,N/A,2024-10-30T00:54:19.735Z,,,2024-10-30T00:20:19.735Z
2024-10-30 01:20:27,22105,Bérault,STIF:Line::C01371:,metro,Château de Vincennes,delayed,N/A,2024-10-30T00:55:19.735Z,N/A,2024-10-30T00:55:19.735Z,,,2024-10-30T00:20:19.735Z
2024-10-30 01:20:32,22155,Raspail,STIF:Line::C01376:,metro,Charles de Gaulle-Etoile,delayed,N/A,2024-10-30T00:33:49.671Z,N/A,2024-10-30T00:33:49.671Z,,,2024-10-30T00:19:49.671Z
2024-10-30 01:20:33,22158,Denfert-Rochereau,STIF:Line::C01376:,metro,Charles de Gaulle-Etoile,delayed,N/A,2024-10-30T00:33:28.711Z,N/A,2024-10-30T00:33:28.711Z,,,2024-10-30T00:19:28.711Z
2024-10-30 01:20:33,22159,Strasbourg-Saint-Denis,STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T00:38:59.676Z,N/A,2024-10-30T00:38:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:33,22160,Saint-Jacques,STIF:Line::C01376:,metro,Charles de Gaulle-Etoile,delayed,N/A,2024-10-30T00:31:36.358Z,N/A,2024-10-30T00:31:36.358Z,,,2024-10-30T00:18:36.358Z
2024-10-30 01:20:33,22164,Trocadéro,STIF:Line::C01376:,metro,Charles de Gaulle-Etoile,delayed,N/A,2024-10-30T00:45:49.671Z,N/A,2024-10-30T00:45:49.671Z,,,2024-10-30T00:19:49.671Z
2024-10-30 01:20:33,22165,Passy,STIF:Line::C01376:,metro,Charles de Gaulle-Etoile,delayed,N/A,2024-10-30T00:44:49.671Z,N/A,2024-10-30T00:44:49.671Z,,,2024-10-30T00:19:49.671Z
2024-10-30 01:20:34,22171,Dupleix,STIF:Line::C01376:,metro,Charles de Gaulle-Etoile,delayed,N/A,2024-10-30T00:41:49.671Z,N/A,2024-10-30T00:41:49.671Z,,,2024-10-30T00:19:49.671Z
2024-10-30 01:20:34,22172,Edgar-Quinet,STIF:Line::C01376:,metro,Charles de Gaulle-Etoile,delayed,N/A,2024-10-30T00:35:49.671Z,N/A,2024-10-30T00:35:49.671Z,,,2024-10-30T00:19:49.671Z
2024-10-30 01:20:34,22173,Glacière,STIF:Line::C01376:,metro,Charles de Gaulle-Etoile,delayed,N/A,2024-10-30T00:30:49.671Z,N/A,2024-10-30T00:30:49.671Z,,,2024-10-30T00:19:49.671Z
2024-10-30 01:20:34,22174,Chevaleret,STIF:Line::C01376:,metro,Charles de Gaulle-Etoile,delayed,N/A,2024-10-30T00:26:49.671Z,N/A,2024-10-30T00:26:49.671Z,,,2024-10-30T00:19:49.671Z
2024-10-30 01:20:34,22175,Corvisart,STIF:Line::C01376:,metro,Charles de Gaulle-Etoile,delayed,N/A,2024-10-30T00:29:49.671Z,N/A,2024-10-30T00:29:49.671Z,,,2024-10-30T00:19:49.671Z
2024-10-30 01:20:34,22176,Cambronne,STIF:Line::C01376:,metro,Charles de Gaulle-Etoile,delayed,N/A,2024-10-30T00:39:49.671Z,N/A,2024-10-30T00:39:49.671Z,,,2024-10-30T00:19:49.671Z
2024-10-30 01:20:36,22183,La Motte-Picquet-Grenelle,STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T00:25:59.676Z,N/A,2024-10-30T00:25:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:36,22184,Daumesnil (Félix Eboué),STIF:Line::C01378:,metro,Balard,delayed,N/A,2024-10-30T00:34:19.714Z,N/A,2024-10-30T00:34:19.714Z,,,2024-10-30T00:20:19.714Z
2024-10-30 01:20:36,22188,Boucicaut,STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T00:21:59.676Z,N/A,2024-10-30T00:21:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:36,22189,Félix Faure,STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T00:22:59.676Z,N/A,2024-10-30T00:22:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:37,22190,Commerce,STIF:Line::C01378:,metro,Balard,delayed,N/A,2024-10-30T01:01:19.714Z,N/A,2024-10-30T01:01:19.714Z,,,2024-10-30T00:20:19.714Z
2024-10-30 01:20:38,22191,Ecole Militaire,STIF:Line::C01378:,metro,Balard,delayed,N/A,2024-10-30T00:58:19.714Z,N/A,2024-10-30T00:58:19.714Z,,,2024-10-30T00:20:19.714Z
2024-10-30 01:20:38,22192,La Tour-Maubourg,STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T00:28:59.676Z,N/A,2024-10-30T00:28:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:38,22193,Invalides,STIF:Line::C01378:,metro,Balard,delayed,N/A,2024-10-30T00:55:19.714Z,N/A,2024-10-30T00:55:19.714Z,,,2024-10-30T00:20:19.714Z
2024-10-30 01:20:38,22194,Madeleine,STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T00:32:59.676Z,N/A,2024-10-30T00:32:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:38,22195,Opéra,STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T00:33:59.676Z,N/A,2024-10-30T00:33:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:39,22196,Richelieu-Drouot,STIF:Line::C01378:,metro,Balard,delayed,N/A,2024-10-30T00:50:19.714Z,N/A,2024-10-30T00:50:19.714Z,,,2024-10-30T00:20:19.714Z
2024-10-30 01:20:39,22197,Grands Boulevards,STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T00:36:59.676Z,N/A,2024-10-30T00:36:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:39,22198,Bonne Nouvelle,STIF:Line::C01378:,metro,Balard,delayed,N/A,2024-10-30T00:48:19.714Z,N/A,2024-10-30T00:48:19.714Z,,,2024-10-30T00:20:19.714Z
2024-10-30 01:20:39,22199,République,STIF:Line::C01378:,metro,Balard,delayed,N/A,2024-10-30T00:45:19.714Z,N/A,2024-10-30T00:45:19.714Z,,,2024-10-30T00:20:19.714Z
2024-10-30 01:20:39,22200,Filles du Calvaire,STIF:Line::C01378:,metro,Balard,delayed,N/A,2024-10-30T00:44:19.714Z,N/A,2024-10-30T00:44:19.714Z,,,2024-10-30T00:20:19.714Z
2024-10-30 01:20:39,22201,Saint-Sébastien-Froissart,STIF:Line::C01378:,metro,Balard,delayed,N/A,2024-10-30T00:43:19.714Z,N/A,2024-10-30T00:43:19.714Z,,,2024-10-30T00:20:19.714Z
2024-10-30 01:20:39,22202,Chemin Vert,STIF:Line::C01378:,metro,Balard,delayed,N/A,2024-10-30T00:41:19.714Z,N/A,2024-10-30T00:41:19.714Z,,,2024-10-30T00:20:19.714Z
2024-10-30 01:20:39,22203,Ledru-Rollin,STIF:Line::C01378:,metro,Balard,delayed,N/A,2024-10-30T00:39:19.714Z,N/A,2024-10-30T00:39:19.714Z,,,2024-10-30T00:20:19.714Z
2024-10-30 01:20:39,22204,Faidherbe-Chaligny,STIF:Line::C01378:,metro,Balard,delayed,N/A,2024-10-30T00:38:19.714Z,N/A,2024-10-30T00:38:19.714Z,,,2024-10-30T00:20:19.714Z
2024-10-30 01:20:39,22205,Montgallet,STIF:Line::C01378:,metro,Balard,delayed,N/A,2024-10-30T00:35:19.714Z,N/A,2024-10-30T00:35:19.714Z,,,2024-10-30T00:20:19.714Z
2024-10-30 01:20:40,22206,Michel Bizot,STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T00:51:59.676Z,N/A,2024-10-30T00:51:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:41,22207,Porte Dorée,STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T00:53:59.676Z,N/A,2024-10-30T00:53:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:41,22208,Porte de Charenton,STIF:Line::C01378:,metro,Balard,delayed,N/A,2024-10-30T00:30:19.714Z,N/A,2024-10-30T00:30:19.714Z,,,2024-10-30T00:20:19.714Z
2024-10-30 01:20:41,22209,Liberté,STIF:Line::C01378:,metro,Balard,delayed,N/A,2024-10-30T00:28:19.714Z,N/A,2024-10-30T00:28:19.714Z,,,2024-10-30T00:20:19.714Z
2024-10-30 01:20:41,22210,Charenton-Ecoles,STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T00:57:59.676Z,N/A,2024-10-30T00:57:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:41,22211,Créteil-L'Echat (Hôpital Henri Mondor),STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T01:04:59.676Z,N/A,2024-10-30T01:04:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:42,22212,Créteil-Université,STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T01:06:59.676Z,N/A,2024-10-30T01:06:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:42,22214,Ecole Vétérinaire de Maisons-Alfort,STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T00:59:59.676Z,N/A,2024-10-30T00:59:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:42,22215,Maisons-Alfort-Stade,STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T01:01:59.676Z,N/A,2024-10-30T01:01:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:42,22216,Maisons-Alfort-Les Juilliottes,STIF:Line::C01378:,metro,Créteil-Pointe du Lac,delayed,N/A,2024-10-30T01:03:59.676Z,N/A,2024-10-30T01:03:59.676Z,,,2024-10-30T00:19:59.676Z
2024-10-30 01:20:47,22365,Place d'Italie,STIF:Line::C01377:,metro,Villejuif-Louis Aragon,delayed,N/A,2024-10-30T00:36:59.671Z,N/A,2024-10-30T00:36:59.671Z,,,2024-10-30T00:19:59.671Z
2024-10-30 01:20:47,22367,Château Landon,STIF:Line::C01377:,metro,Porte de la Villette,delayed,N/A,2024-10-30T00:21:49.685Z,N/A,2024-10-30T00:21:49.685Z,,,2024-10-30T00:19:49.685Z
2024-10-30 01:20:47,22368,Stalingrad,STIF:Line::C01377:,metro,Porte de la Villette,delayed,N/A,2024-10-30T00:23:49.685Z,N/A,2024-10-30T00:23:49.685Z,,,2024-10-30T00:19:49.685Z
2024-10-30 01:20:47,22369,Sully-Morland,STIF:Line::C01377:,metro,Villejuif-Louis Aragon,delayed,N/A,2024-10-30T00:29:59.671Z,N/A,2024-10-30T00:29:59.671Z,,,2024-10-30T00:19:59.671Z
2024-10-30 01:20:48,22371,Riquet,STIF:Line::C01377:,metro,Porte de la Villette,delayed,N/A,2024-10-30T00:24:49.685Z,N/A,2024-10-30T00:24:49.685Z,,,2024-10-30T00:19:49.685Z
2024-10-30 01:20:48,22376,Palais-Royal (Musée du Louvre),STIF:Line::C01377:,metro,Villejuif-Louis Aragon,delayed,N/A,2024-10-30T00:24:59.671Z,N/A,2024-10-30T00:24:59.671Z,,,2024-10-30T00:19:59.671Z
2024-10-30 01:20:49,22378,Pont Marie (Cité des Arts),STIF:Line::C01377:,metro,Villejuif-Louis Aragon,delayed,N/A,2024-10-30T00:28:59.671Z,N/A,2024-10-30T00:28:59.671Z,,,2024-10-30T00:19:59.671Z
2024-10-30 01:20:49,22379,Pont Neuf,STIF:Line::C01377:,metro,Villejuif-Louis Aragon,delayed,N/A,2024-10-30T00:25:59.671Z,N/A,2024-10-30T00:25:59.671Z,,,2024-10-30T00:19:59.671Z
2024-10-30 01:20:50,22381,Opéra,STIF:Line::C01377:,metro,Villejuif-Louis Aragon,delayed,N/A,2024-10-30T00:21:59.671Z,N/A,2024-10-30T00:21:59.671Z,,,2024-10-30T00:19:59.671Z
2024-10-30 01:20:50,22383,Les Gobelins,STIF:Line::C01377:,metro,Villejuif-Louis Aragon,delayed,N/A,2024-10-30T00:35:59.671Z,N/A,2024-10-30T00:35:59.671Z,,,2024-10-30T00:19:59.671Z
2024-10-30 01:20:50,22389,Corentin-Cariou,STIF:Line::C01377:,metro,Porte de la Villette,delayed,N/A,2024-10-30T00:28:49.704Z,N/A,2024-10-30T00:28:49.704Z,,,2024-10-30T00:20:49.704Z
2024-10-30 01:20:52,22398,Le Kremlin-Bicêtre,STIF:Line::C01377:,metro,Villejuif-Louis Aragon,delayed,N/A,2024-10-30T00:40:59.671Z,N/A,2024-10-30T00:40:59.671Z,,,2024-10-30T00:19:59.671Z
